Группа каталога,Тип локации,Регион,Город / кластер,АО Москвы,Район / локация,ЖК,Застройщик,Ссылка на чат,Ссылка исходная,Листы-источники,Строки-источники,Тип списка,Уверенность,Комментарий,slug_chat,slug_group,slug_region,slug_city_cluster,slug_district
Setl Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Титул в Московском""",Setl Group,https://t.me/JKTitulVMosk,https://t.me/JKTitulVMosk,Питер чаты,Питер чаты:97,main,high,,zhk-titul-v-moskovskom,setl-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Setl Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Imperial Club,Setl Group,https://t.me/JKImpKlub,https://t.me/JKImpKlub,Питер чаты,Питер чаты:108,main,high,,zhk-imperial-club,setl-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Setl Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Pulse Premier,Setl Group,https://t.me/JKPulsePremierSosedi,https://t.me/JKPulsePremierSosedi,Питер чаты,Питер чаты:13,main,high,,zhk-pulse-premier,setl-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Setl Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Город Звезд,Setl Group,https://t.me/JKGorodZvezdSosedi,https://t.me/JKGorodZvezdSosedi,Питер чаты,Питер чаты:19,main,high,,zhk-gorod-zvezd,setl-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Setl Group,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Дворцовый фасад,Setl Group,https://t.me/JKDvortsovifasadSosedi,https://t.me/JKDvortsovifasadSosedi,Питер чаты,Питер чаты:22,main,high,,zhk-dvortsovyy-fasad,setl-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Sezar Group,Москва,Москва,Москва,ЗАО,Раменки,ЖК V12,Sezar Group,https://t.me/JKV12Chat,https://t.me/JKV12Chat,Москва чаты,Москва чаты:207,main,high,,zhk-v12,sezar-group,moskva,moskva,ramenki
Sminex,Новая Москва,Москва,Москва,НАО,Московский / Филатов Луг,ЖК Филатов луг,Sminex,https://t.me/ZhKFilatovlugSosedi1,https://t.me/ZhKFilatovlugSosedi1,Москва чаты,Москва чаты:179,main,high,,zhk-filatov-lug,sminex,moskva,moskva,moskovskiy-filatov-lug
Sminex,Москва,Москва,Москва,САО,Войковский,ЖК Injoy,Sminex,https://t.me/JKInjoyChat,https://t.me/JKInjoyChat,Москва чаты,Москва чаты:231,main,high,,zhk-injoy,sminex,moskva,moskva,voykovskiy
Sminex,Москва,Москва,Москва,СВАО,Марфино,ЖК Достижение,Sminex,https://t.me/dostijenieChat,https://t.me/dostijenieChat,"Москва чаты, Сдача по чатам",Москва чаты:33; Сдача по чатам:22,"delivery, main",high,,zhk-dostizhenie,sminex,moskva,moskva,marfino
Sminex,Москва,Москва,Москва,ЦАО,Пресненский,ЖК Life Time,Sminex,https://t.me/JKLifeTime,https://t.me/JKLifeTime,Москва чаты,Москва чаты:168,main,medium,,zhk-life-time,sminex,moskva,moskva,presnenskiy
Sminex,Москва,Москва,Москва,ЦАО,Якиманка,ЖК Лаврушинский,Sminex,https://t.me/ZhKLavrushinskiySosedi,https://t.me/ZhKLavrushinskiySosedi,Москва чаты,Москва чаты:12; Москва чаты:17,main,high,,zhk-lavrushinskiy,sminex,moskva,moskva,yakimanka
Sminex,Московская область,Московская область,Мытищи,,,ЖК Белый Grad,Sminex,https://t.me/BeliGradSob,https://t.me/BeliGradSob,Москва чаты,Москва чаты:204,main,high,,zhk-belyy-grad,sminex,moskovskaya-oblast,mytischi,
Sun Development,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Monodom ART,Sun Development,https://t.me/JKMonodomArt,https://t.me/JKMonodomArt,Питер чаты,Питер чаты:119,main,high,,zhk-monodom-art,sun-development,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
TEKTA GROUP,Москва,Москва,Москва,ЮАО,Даниловский,ЖК ERA (ЭРА),TEKTA GROUP,https://t.me/JKEraSo,https://t.me/JKEraSo,Москва чаты,Москва чаты:271,main,medium,,zhk-era-era,tekta-group,moskva,moskva,danilovskiy
TEKTA GROUP,Москва,Москва,Москва,ЮАО,Нагорный,ЖК Twelve,TEKTA GROUP,https://t.me/JKTwelveChat,https://t.me/JKTwelveChat,Москва чаты,Москва чаты:157,main,high,,zhk-twelve,tekta-group,moskva,moskva,nagornyy
TEKTA GROUP,Москва,Москва,Москва,ЮЗАО,Котловка,ЖК Eniteo,TEKTA GROUP,https://t.me/JKEniteo,https://t.me/JKEniteo,Москва чаты,Москва чаты:38,main,high,,zhk-eniteo,tekta-group,moskva,moskva,kotlovka
TEN Девелопмент,Другой город/регион,Свердловская область,Екатеринбург,,,Екатериниский парк,TEN Девелопмент,https://t.me/JKEkatPark,https://t.me/JKEkatPark,Екатеринбург чаты,Екатеринбург чаты:3,main,high,,ekateriniskiy-park,ten-development,sverdlovskaya-oblast,ekaterinburg,
TEN Девелопмент,Другой город/регион,Свердловская область,Екатеринбург,,,Клубный дом инженера Ятеса,TEN Девелопмент,https://t.me/JKKDInYAt,https://t.me/JKKDInYAt,Екатеринбург чаты,Екатеринбург чаты:34,main,high,,klubnyy-dom-inzhenera-yatesa,ten-development,sverdlovskaya-oblast,ekaterinburg,
TETRIS GROUP,Другой город/регион,Свердловская область,Екатеринбург,,,Квартал Моменты на Космонавтов,TETRIS GROUP,https://t.me/JKKvartalMomenti,https://t.me/JKKvartalMomenti,Екатеринбург чаты,Екатеринбург чаты:39,main,high,,kvartal-momenty-na-kosmonavtov,tetris-group,sverdlovskaya-oblast,ekaterinburg,
TOUCH,Москва,Москва,Москва,ЮВАО,Южнопортовый,ЖК Champine,TOUCH,https://t.me/ZhKChampineSosedi,https://t.me/ZhKChampineSosedi,Москва чаты,Москва чаты:13; Москва чаты:18,main,high,,zhk-champine,touch,moskva,moskva,yuzhnoportovyy
UPSIDE DEVELOPMENT,Москва,Москва,Москва,СВАО,Бутырский,ЖК Upside Towers (Апсайд Тауэрс),UPSIDE DEVELOPMENT,https://t.me/JKUpsideTowers,https://t.me/JKUpsideTowers,Москва чаты,Москва чаты:191,main,high,,zhk-upside-towers-apsayd-tauers,upside-development,moskva,moskva,butyrskiy
Unino,Московская область,Московская область,Красногорск,,,ЖК Riga Hills,Unino,https://t.me/JKRigaHillsChat,https://t.me/JKRigaHillsChat,Москва чаты,Москва чаты:127,main,medium,,zhk-riga-hills,unino,moskovskaya-oblast,krasnogorsk,
VEREN GROUP,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Veren Nort Сертолово,VEREN GROUP,https://t.me/JKVerenNortSertolovoSosedi,https://t.me/JKVerenNortSertolovoSosedi,Питер чаты,Питер чаты:5,main,high,,zhk-veren-nort-sertolovo,veren-group,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
VOS'HOD,Москва,Москва,Москва,ЦАО,Тверской,ЖК BRUSOV,VOS'HOD,https://t.me/ZhKPRIMEPARKSosedi,https://t.me/ZhKPRIMEPARKSosedi,Москва чаты,Москва чаты:183,main,high,,zhk-brusov,vos-hod,moskva,moskva,tverskoy
WELLBE,Москва,Москва,Москва,ЮВАО,Рязанский,ЖК Wellbe,WELLBE,https://t.me/JKWellbeSob,https://t.me/JKWellbeSob,Москва чаты,Москва чаты:58,main,medium,,zhk-wellbe,wellbe,moskva,moskva,ryazanskiy
А101,Новая Москва,Москва,Москва,НАО,Московский / Внуково,ЖК Родные Кварталы,А101,https://t.me/JKRodnyeKvartaly,https://t.me/JKRodnyeKvartaly,Москва чаты,Москва чаты:187,main,medium,,zhk-rodnye-kvartaly,a101,moskva,moskva,moskovskiy-vnukovo
А101,Новая Москва,Москва,Москва,НАО,Сосенское,ЖК Прокшино,А101,https://t.me/ZhKProkshinoSosedi,https://t.me/ZhKProkshinoSosedi,Москва чаты,Москва чаты:72,main,high,,zhk-prokshino,a101,moskva,moskva,sosenskoe
А101,Новая Москва,Москва,Москва,НАО,Сосенское / Коммунарка,ЖК Скандинавия,А101,https://t.me/ZhKSkandinaviyaSosedi,https://t.me/ZhKSkandinaviyaSosedi,Москва чаты,Москва чаты:84,main,high,,zhk-skandinaviya,a101,moskva,moskva,sosenskoe-kommunarka
А101,Москва,Москва,Москва,САО,Хорошёвский,ЖК Дом на Зорге,А101,https://t.me/JKDomNaZorge,https://t.me/JKDomNaZorge,Москва чаты,Москва чаты:156,main,high,,zhk-dom-na-zorge,a101,moskva,moskva,horoshevskiy
А101,Новая Москва,Москва,Москва,ТАО,Десёновское,ЖК Деснаречье,А101,https://t.me/JKDesnarechieSosedi,https://t.me/JKDesnarechieSosedi,Москва чаты,Москва чаты:152,main,high,,zhk-desnareche,a101,moskva,moskva,desenovskoe
А101,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""А101 Всеволожск""",А101,https://t.me/JKA101VsevolojskSosedi,https://t.me/JKA101VsevolojskSosedi,Питер чаты,Питер чаты:75,main,high,,zhk-a101-vsevolozhsk,a101,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
А101,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""А101 Лаголово""",А101,https://t.me/JKA101LagolovoSosedi,https://t.me/JKA101LagolovoSosedi,Питер чаты,Питер чаты:71,main,high,,zhk-a101-lagolovo,a101,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
АКАДЕМИЯ,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Академия,АКАДЕМИЯ,https://t.me/JKAkademiyaJ,https://t.me/JKAkademiyaJ,Новосибирск чаты,Новосибирск чаты:77,main,high,,zhk-akademiya,akademiia,novosibirskaya-oblast,novosibirsk,
АСД,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Маленькая Швейцария""",АСД,https://t.me/JKMalenkayaShvetsariaSosedi,https://t.me/JKMalenkayaShvetsariaSosedi,Питер чаты,Питер чаты:134,main,high,,zhk-malenkaya-shveytsariya,asd,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Абсолют,Новая Москва,Москва,Москва,НАО,Внуково,ЖК Переделкино Ближнее,Абсолют,https://t.me/ZhKPeredelkinoBlizhneeSosedi,https://t.me/ZhKPeredelkinoBlizhneeSosedi,Москва чаты,Москва чаты:85,main,high,,zhk-peredelkino-blizhnee,absoliut,moskva,moskva,vnukovo
Абсолют,Новая Москва,Москва,Москва,НАО,Московский,ЖК 1 Московский,Абсолют,https://t.me/ZhKPervyyMoskovskiySosedi1,https://t.me/ZhKPervyyMoskovskiySosedi1,Москва чаты,Москва чаты:87,main,high,,zhk-1-moskovskiy,absoliut,moskva,moskva,moskovskiy
Абсолют,Москва,Москва,Москва,ЦАО,Хамовники,ЖК Luzhniki Collection,Абсолют,https://t.me/JKLuzhnikiCollectionSob,https://t.me/JKLuzhnikiCollectionSob,Москва чаты,Москва чаты:226,main,high,,zhk-luzhniki-collection,absoliut,moskva,moskva,hamovniki
Авторы,Другой город/регион,Республика Татарстан,Казань,,,ЖК Авторы на Большой,Авторы,https://t.me/JKAvtorinaBolshoy62Dolchiki,https://t.me/JKAvtorinaBolshoy62Dolchiki,Казань чаты,Казань чаты:16; Казань чаты:87,main,high,,zhk-avtory-na-bolshoy,avtory,respublika-tatarstan,kazan,
Адмирал,Другой город/регион,Республика Татарстан,Казань,,,ЖК Адмирал,Адмирал,https://t.me/JKAdmiralDolchiki,https://t.me/JKAdmiralDolchiki,Казань чаты,Казань чаты:18; Казань чаты:89,main,high,,zhk-admiral,admiral,respublika-tatarstan,kazan,
Ак Барс Дом,Другой город/регион,Республика Татарстан,Казань,,,ЖК Светлая Долина,Ак Барс Дом,https://t.me/JKSvetlayaDolinaDolchiki,https://t.me/JKSvetlayaDolinaDolchiki,Казань чаты,Казань чаты:21; Казань чаты:92,main,high,,zhk-svetlaya-dolina,ak-bars-dom,respublika-tatarstan,kazan,
Ак Таш,Другой город/регион,Республика Татарстан,Казань,,,ЖК Алтын Яр,Ак Таш,https://t.me/JKAltinYarDolchiki,https://t.me/JKAltinYarDolchiki,Казань чаты,Казань чаты:4; Казань чаты:75,main,high,,zhk-altyn-yar,ak-tash,respublika-tatarstan,kazan,
